Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 2 First Name,Author 2 Last Name,Author 1 Affiliation,Author 3 First Name,Author 3 Last Name,Author 4 First Name,Author 4 Last Name,Author 5 First Name,Author 5 Last Name,Author 6 First Name,Author 6 Last Name,Author 7 First Name,Author 7 Last Name,Author 8 First Name,Author 8 Last Name,Author 9 First Name,Author 9 Last Name,Author 10 First Name,Author 10 Last Name,Author 11 First Name,Author 11 Last Name,Author 12 First Name,Author 12 Last Name,Author 13 First Name,Author 13 Last Name,Author 14 First Name,Author 14 Last Name,Author 15 First Name,Author 15 Last Name,Author 16 First Name,Author 16 Last Name,Author 17 First Name,Author 17 Last Name,Author 18 First Name,Author 18 Last Name,Author 19 First Name,Author 19 Last Name,Author 20 First Name,Author 20 Last Name,Author 21 First Name,Author 21 Last Name,Author 22 First Name,Author 22 Last Name,Author 23 First Name,Author 23 Last Name,Author 24 First Name,Author 24 Last Name,Author 25 First Name,Author 25 Last Name,Author 26 First Name,Author 26 Last Name,Author 27 First Name,Author 27 Last Name,Collective Author 1,Author 2 Affiliation,Author 3 Affiliation,Author 4 Affiliation,Author 5 Affiliation,Author 6 Affiliation,Author 7 Affiliation,Author 8 Affiliation,Author 9 Affiliation,Author 10 Affiliation,Author 11 Affiliation,Author 12 Affiliation,Author 13 Affiliation,Author 14 Affiliation,Author 15 Affiliation,Author 16 Affiliation,Author 17 Affiliation,Author 18 Affiliation,Author 19 Affiliation,Author 20 Affiliation,Author 21 Affiliation,Author 22 Affiliation,Author 23 Affiliation,Collective Author 2,Author 28 First Name,Author 28 Last Name,Author 29 First Name,Author 29 Last Name,Author 30 First Name,Author 30 Last Name,Author 31 First Name,Author 31 Last Name,Author 32 First Name,Author 32 Last Name,Author 33 First Name,Author 33 Last Name
cost-effectiveness of intensity-modulated radiotherapy in oropharyngeal cancer,https://pubmed.ncbi.nlm.nih.gov/22739256/,26,06,2012,Clinical oncology (Royal College of Radiologists (Great Britain)),24,7,1433-2981,J H E,Yong,J,Beca,"St. Michael's Hospital, Toronto, ON, Canada.",B,O'Sullivan,S H,Huang,T,McGowan,P,Warde,J S,Hoch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness analysis of sbrt versus imrt: an emerging initial radiation treatment option for organ-confined prostate cancer,https://pubmed.ncbi.nlm.nih.gov/22694113/,01,05,2012,The American journal of managed care,18,5,1936-2692,Joseph C,Hodges,Yair,Lotan,"University of Texas Southwestern, Dallas, USA. joseph.hodges@utsouthwestern.edu",Thomas P,Boike,Rhonda,Benton,Alyson,Barrier,Robert D,Timmerman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intensity modulated radiation therapy with field rotation--a time-varying fractionation study,https://pubmed.ncbi.nlm.nih.gov/22231648/,10,01,2012,Health care management science,15,2,1386-9620,Delal,Dink,Mark P,Langer,"School of Chemical Engineering, Purdue University, W. Lafayette, IN 47907, USA.",Ronald L,Rardin,Joseph F,Pekny,Gintaras V,Reklaitis,Behlul,Saka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interventional radiologic treatment of hepatocellular carcinoma-a cost analysis from the payer perspective,https://pubmed.ncbi.nlm.nih.gov/22277271/,25,01,2012,Journal of vascular and interventional radiology : JVIR,23,3,1535-7732,Charles E,Ray,Catherine,Battaglia,"Department of Radiology, University of Colorado, Aurora, CO 80045, USA. Charles.ray@ucdenver.edu",Anne M,Libby,Allan,Prochazka,Stan,Xu,Brian,Funaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the combined use of surgery and radiotherapy to treat patients with epidural cord compression due to metastatic disease: a cost-utility analysis,https://pubmed.ncbi.nlm.nih.gov/22505658/,14,04,2012,Neuro-oncology,14,5,1523-5866,Julio C,Furlan,Kelvin K-W,Chan,"Division of Genetics and Development, Toronto Western Research Institute, Krembil Neuroscience Centre, Spinal Program, Toronto Western Hospital, University Health Network, Toronto, Ontario, Canada M5T 2S8. jcfurlan@gmail.com",Guillermo A,Sandoval,Kenneth C K,Lam,Christopher A,Klinger,Roy A,Patchell,Audrey,Laporte,Michael G,Fehlings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"racial/ethnic differences in treatment discussed, preferred, and received for prostate cancer in a tri-ethnic population",https://pubmed.ncbi.nlm.nih.gov/22419652/,13,03,2012,American journal of men's health,6,3,1557-9891,G M Monawar,Hosain,Maureen,Sanderson,"Baylor College of Medicine, Houston, TX 77030, USA.",Xianglin L,Du,Wenyaw,Chan,Sara S,Strom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
primary treatments for clinically localised prostate cancer: a comprehensive lifetime cost-utility analysis,https://pubmed.ncbi.nlm.nih.gov/23279038/,28,12,2012,BJU international,111,3,1464-410X,Matthew R,Cooperberg,Naren R,Ramakrishna,"Departments of Urology and Epidemiology and Biostatistics, UCSF Helen Diller Family Comprehensive Cancer Center, San Francisco, CA, USA. mcooperberg@urology.ucsf.edu",Steven B,Duff,Kathleen E,Hughes,Sara,Sadownik,Joseph A,Smith,Ashutosh K,Tewari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radiotherapy as sole adjuvant treatment for older patients with low-risk breast cancer,https://pubmed.ncbi.nlm.nih.gov/22763240/,02,07,2012,"Breast (Edinburgh, Scotland)",21,5,1532-3080,G A,Walker,O,Kaidar-Person,"Department of Clinical Oncology, Nottingham City Hospital, Hucknall Road, Nottingham NG5 1PB, United Kingdom. georgiewalker@doctors.org.uk",A,Kuten,D A L,Morgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness of intensity-modulated radiotherapy in prostate cancer,https://pubmed.ncbi.nlm.nih.gov/22705100/,15,06,2012,Clinical oncology (Royal College of Radiologists (Great Britain)),24,7,1433-2981,J H E,Yong,J,Beca,"St Michael's Hospital, Toronto, ON, Canada.",T,McGowan,K E,Bremner,P,Warde,J S,Hoch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estimation of the optimal brachytherapy utilization rate in the treatment of gynecological cancers and comparison with patterns of care,https://pubmed.ncbi.nlm.nih.gov/22658439/,01,06,2012,"International journal of radiation oncology, biology, physics",85,2,1879-355X,Stephen R,Thompson,Geoff P,Delaney,"Collaboration for Cancer Outcomes Research and Evaluation, Liverpool Hospital, Sydney, Australia. stephen.thompson@sesiahs.health.nsw.gov.au",Gabriel S,Gabriel,Susannah,Jacob,Prabir,Das,Michael B,Barton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treatment for pathologic stage i lung cancer--are models reliable?,https://pubmed.ncbi.nlm.nih.gov/22244284/,01,02,2012,"International journal of radiation oncology, biology, physics",82,2,1879-355X,Varun,Puri,Traves D,Crabtree,,Bryan F,Meyers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the therapy of cushing's disease in adults and children: an update,https://pubmed.ncbi.nlm.nih.gov/23225246/,07,12,2012,Hormone and metabolic research = Hormon- und Stoffwechselforschung = Hormones et metabolisme,45,2,1439-4286,A,Juszczak,M E,Ertorer,"Oxford Centre for Diabetes, Endocrinology and Metabolism, Churchill Hospital, University of Oxford, Oxford, UK. agata.juszczak@doctors.net.uk",A,Grossman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
